aiport_id,airport_name,origin_state
549,RIO VISTA MUNICIPAL ARPT,California
550,ELIZABETHTON MUNICIPAL ARPT,Tennessee
551,PRYOR FIELD REGIONAL ARPT,Alabama
552,DANIEL ODUBER QUIROS INTL,
553,CHARLES B WHEELER DOWNTOWN ARPT,Missouri
554,KUNSAN,
555,TEHACHAPI MUNICIPAL ARPT,California
556,BARKLEY REGIONAL ARPT,Kentucky
557,JACQUELINE COCHRAN REGIONAL ARPT,California
558,BARROW COUNTY ARPT,Georgia
559,HAYWARD EXECUTIVE ARPT,California
560,TUPELO MUNICIPAL,Mississippi
561,MIDDLETON MUNI MOREY FIELD,Wisconsin
562,FIUMICINO ARPT,
563,WACO REGIONAL ARPT,Texas
564,LIEGE ARPT,
565,CHESTERFIELD COUNTY ARPT,Virginia
566,CASTLE ARPT,California
567,SKAGIT REGIONAL,Washington
568,SIMON BOLIVAR INTL,
569,MERRILL FIELD ARPT,Alaska
570,GRAND CANYON NATIONAL,Arizona
571,LA ROMANA INTL,
572,REID-HILLVIEW ARPT OF SANTA CLARA CNTY,California
573,BERZ-MACOMB ARPT,Michigan
574,FLYING CLOUD ARPT,Minnesota
575,SOUTHWEST MINNESOTA REGIONAL ARPT,Minnesota
576,BEMIDJI REGIONAL ARPT,Minnesota
577,SPENCER MUNICIPAL AIRPORT,Iowa
578,GREATER PORTSMOUTH REGIONAL ARPT,Ohio
579,TOMPKINS COUNTY ARPT,New York
580,GREGG COUNTY ARPT,Texas
581,GREENBRIER VALLEY ARPT,West Virginia
582,WILEY POST ARPT,Oklahoma
583,VIRU VIRU INTL,
584,ERNESTO CORTISSOZ,
585,LIMA ALLEN COUNTY,Ohio
586,MERLE K (MUDHOLE) SMITH ARPT,Alaska
587,SOUTHWEST MICHIGAN REGIONAL,Michigan
588,TACOMA NARROWS ARPT,Washington
589,MATHIS FIELD (TX),Texas
590,GREENWOOD MUNICIPAL ARPT,Indiana
591,PIARCO TRINIDAD,
592,FAIRMONT MUNICIPAL ARPT,Minnesota
593,LA AURORA,
594,NAPLES MUNICIPAL,Florida
595,HOUSTON GULF ARPT,Texas
596,MORAN FIELD ARPT,Maryland
597,MASON COUNTY ARPT (MI),Michigan
598,PUERTO PLATA INTL,
599,ASHTABULA COUNTY,Ohio
600,COLEMAN A YOUNG MUNICIPAL ARPT,Michigan
601,MANSFIELD LAHM MUNICIPAL,Ohio
602,LYNDEN PINDLING INTL ARPT,
603,HERLONG ARPT,Florida
604,CAPT FEAR REGIONAL JETPORT,North Carolina
605,CARRABELLE-THOMPSON,Florida
606,FRANCIS S GABRESKI ARPT,New York
607,HAWKINS ARPT,Missouri
608,HEMET-RYAN ARPT,California
609,CUBA MUNICIPAL ARPT,Missouri
610,PAGE FIELD ARPT,Florida
611,MERRILL C MEIGS ARPT,Illinois
612,LOS CABOS INTL,
613,DECATUR ARPT,Illinois
614,TERRE HAUTE INTL ARPT-HULMAN FIELD,Indiana
